Run,P,N,Time
1,1,2000,0.154178
2,1,2000,0.154422
3,1,2000,0.153759
4,1,2000,0.154921
5,1,2000,0.154765
6,1,2000,0.155847
7,1,2000,0.154951
8,1,2000,0.154846
9,1,2000,0.154388
10,1,2000,0.154161
1,2,2000,0.083225
2,2,2000,0.084813
3,2,2000,0.084601
4,2,2000,0.084410
5,2,2000,0.084107
6,2,2000,0.083039
7,2,2000,0.084694
8,2,2000,0.085308
9,2,2000,0.083897
10,2,2000,0.084040
1,4,2000,0.051072
2,4,2000,0.052836
3,4,2000,0.051512
4,4,2000,0.052706
5,4,2000,0.051889
6,4,2000,0.052110
7,4,2000,0.050973
8,4,2000,0.052569
9,4,2000,0.052929
10,4,2000,0.051648
1,8,2000,0.040372
2,8,2000,0.038658
3,8,2000,0.038966
4,8,2000,0.038311
5,8,2000,0.037935
6,8,2000,0.037388
7,8,2000,0.038438
8,8,2000,0.038320
9,8,2000,0.037063
10,8,2000,0.038429
1,12,2000,0.034815
2,12,2000,0.031922
3,12,2000,0.031872
4,12,2000,0.032544
5,12,2000,0.034411
6,12,2000,0.033568
7,12,2000,0.033859
8,12,2000,0.032530
9,12,2000,0.032253
10,12,2000,0.033320
1,16,2000,0.028105
2,16,2000,0.029700
3,16,2000,0.029863
4,16,2000,0.029439
5,16,2000,0.028444
6,16,2000,0.088008
7,16,2000,0.060371
8,16,2000,0.029592
9,16,2000,0.030269
10,16,2000,0.029814
1,20,2000,0.079548
2,20,2000,0.152927
3,20,2000,0.035201
4,20,2000,0.027254
5,20,2000,0.026998
6,20,2000,0.096752
7,20,2000,0.134198
8,20,2000,0.053052
9,20,2000,0.102475
10,20,2000,0.125925
1,24,2000,0.026561
2,24,2000,0.024692
3,24,2000,0.024772
4,24,2000,0.023672
5,24,2000,0.026405
6,24,2000,0.024821
7,24,2000,0.024972
8,24,2000,0.024276
9,24,2000,0.026529
10,24,2000,0.024799
