Run,P,N,Time
1,1,2000,0.153914
2,1,2000,0.153866
3,1,2000,0.153821
4,1,2000,0.153730
5,1,2000,0.154564
6,1,2000,0.153806
7,1,2000,0.153303
8,1,2000,0.153985
9,1,2000,0.153900
10,1,2000,0.153989
1,2,2828,0.167178
2,2,2828,0.165365
3,2,2828,0.165237
4,2,2828,0.165969
5,2,2828,0.166035
6,2,2828,0.165136
7,2,2828,0.165646
8,2,2828,0.166095
9,2,2828,0.165683
10,2,2828,0.166115
1,4,4000,0.191442
2,4,4000,0.190999
3,4,4000,0.191860
4,4,4000,0.192941
5,4,4000,0.191703
6,4,4000,0.190192
7,4,4000,0.191920
8,4,4000,0.193463
9,4,4000,0.192039
10,4,4000,0.192559
1,8,5656,0.241850
2,8,5656,0.242432
3,8,5656,0.242427
4,8,5656,0.241374
5,8,5656,0.240629
6,8,5656,0.243515
7,8,5656,0.242903
8,8,5656,0.244917
9,8,5656,0.241710
10,8,5656,0.244208
1,12,6928,0.292573
2,12,6928,0.291322
3,12,6928,0.290691
4,12,6928,0.291302
5,12,6928,0.293974
6,12,6928,0.296203
7,12,6928,0.296067
8,12,6928,0.294321
9,12,6928,0.297181
10,12,6928,0.295152
1,16,8000,0.333741
2,16,8000,0.337276
3,16,8000,0.333463
4,16,8000,0.335615
5,16,8000,0.335183
6,16,8000,0.334631
7,16,8000,0.337347
8,16,8000,0.335775
9,16,8000,0.335588
10,16,8000,0.338109
1,20,8944,0.384142
2,20,8944,0.384921
3,20,8944,0.380819
4,20,8944,0.383876
5,20,8944,0.382480
6,20,8944,0.386474
7,20,8944,0.383576
8,20,8944,0.385191
9,20,8944,0.384767
10,20,8944,0.386511
1,24,9798,0.433423
2,24,9798,0.435758
3,24,9798,0.435763
4,24,9798,0.434273
5,24,9798,0.436499
6,24,9798,0.436981
7,24,9798,0.435009
8,24,9798,0.434768
9,24,9798,0.435097
10,24,9798,0.432606
