Run,P,N,Time
1,1,10000,3.799397
2,1,10000,3.798821
3,1,10000,3.790777
1,2,10000,2.050509
2,2,10000,2.042409
3,2,10000,2.048848
1,4,10000,1.193771
2,4,10000,1.189616
3,4,10000,1.183059
1,8,10000,0.760231
2,8,10000,0.764234
3,8,10000,0.768739
1,12,10000,0.613741
2,12,10000,0.614302
3,12,10000,0.611721
1,16,10000,0.511386
2,16,10000,0.511493
3,16,10000,0.509591
1,20,10000,0.468609
2,20,10000,0.465762
3,20,10000,0.470812
1,24,10000,0.442615
2,24,10000,0.440695
3,24,10000,0.440991
1,48,10000,0.395586
2,48,10000,0.388700
3,48,10000,0.416250
