Run,P,N,Time
1,1,10000,3.468382
2,1,10000,3.469812
3,1,10000,3.464559
1,2,10000,1.735257
2,2,10000,1.740044
3,2,10000,1.734595
1,4,10000,0.868901
2,4,10000,0.875019
3,4,10000,0.868699
1,8,10000,0.442684
2,8,10000,0.434181
3,8,10000,0.436691
1,12,10000,0.292619
2,12,10000,0.289928
3,12,10000,0.292778
1,16,10000,0.217831
2,16,10000,0.220455
3,16,10000,0.219850
1,20,10000,0.176317
2,20,10000,0.177340
3,20,10000,0.177210
1,24,10000,0.158499
2,24,10000,0.154404
3,24,10000,0.158955
1,48,10000,0.081017
2,48,10000,0.079580
3,48,10000,0.079703
