Run,P,N,Time
1,1,5000,0.949869
2,1,5000,0.946818
3,1,5000,0.947850
1,2,7071,1.025104
2,2,7071,1.022734
3,2,7071,1.025737
1,4,10000,1.192204
2,4,10000,1.190972
3,4,10000,1.190823
1,8,14142,1.535012
2,8,14142,1.535709
3,8,14142,1.538317
1,12,17320,1.866534
2,12,17320,1.871773
3,12,17320,1.874690
1,16,20000,1.993337
2,16,20000,1.997572
3,16,20000,2.004013
1,20,22360,2.282587
2,20,22360,2.279132
3,20,22360,2.263978
1,24,24494,2.569405
2,24,24494,2.566400
3,24,24494,2.556327
1,48,34641,4.604480
2,48,34641,4.605142
3,48,34641,4.619450
