Run,P,N,Time
1,1,5000,0.956357
2,1,5000,0.955554
3,1,5000,0.954506
1,2,7071,1.035699
2,2,7071,1.031331
3,2,7071,1.032373
1,4,10000,1.198893
2,4,10000,1.197862
3,4,10000,1.195803
1,8,14142,1.537134
2,8,14142,1.541828
3,8,14142,1.542017
1,12,17320,1.874927
2,12,17320,1.880723
3,12,17320,1.888582
1,16,20000,2.028243
2,16,20000,1.995016
3,16,20000,2.006706
1,20,22360,2.281127
2,20,22360,2.284443
3,20,22360,2.276669
1,24,24494,2.584453
2,24,24494,2.589016
3,24,24494,2.592186
,48,34641,4.699772
2,48,34641,4.714380
3,48,34641,4.712364
