Run,P,N,Time
1,1,5000,0.869706
2,1,5000,0.866805
3,1,5000,0.867767
1,2,7071,0.869977
2,2,7071,0.870242
3,2,7071,0.869490
1,4,10000,0.867042
2,4,10000,0.867656
3,4,10000,0.870342
1,8,14142,0.867671
2,8,14142,0.865600
3,8,14142,0.870234
1,12,17320,0.874637
2,12,17320,0.870803
3,12,17320,0.873728
1,16,20000,0.874267
2,16,20000,0.870022
3,16,20000,0.871756
1,20,22360,0.876945
2,20,22360,0.871468
3,20,22360,0.874845
1,24,24494,0.881553
2,24,24494,0.878693
3,24,24494,0.877630
1,48,34641,0.968792
2,48,34641,0.930468
3,48,34641,0.933852
